linha_planilha;secretaria;unidade;programa;acao;natureza;desc_sub;valor;vinculo_atual;motivo;vinculo_proposto
647;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;"3.3.90.32.00-MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA";OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;"360000,00";;vínculo em branco;01.310.0000
648;09 - SECRETARIA DA SAÚDE;006-HOSPITAL E MATERNIDADE MUNICIPAL AMADOR AGUIAR;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.30.00-MATERIAL DE CONSUMO;GÊNEROS DE ALIMENTAÇÃO;"1083662,10";;vínculo em branco;01.310.0000
649;09 - SECRETARIA DA SAÚDE;010-DIRETORIA GERAL DE URGÊNCIA E EMERGÊNCIA;"0002-Governo Inteligente, Aberto e Inovador​";2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.30.00-MATERIAL DE CONSUMO;GÊNEROS DE ALIMENTAÇÃO;"274000,00";;vínculo em branco;01.310.0000
650;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;;;"3037000,00";;vínculo em branco;01.310.0000
651;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL ODONTOLÓGICO;"1640000,00";;vínculo em branco;01.310.0000
652;09 - SECRETARIA DA SAÚDE;001-GABINETE DA SECRETARIA DA SAÚDE;0015-Atenção e Cuidado em Saúde​;2.026-Residências e Internações Compulsórias;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS DECORRENTES DE DECISÃO JUDICIAL;"2350000,00";;vínculo em branco;01.310.0000
653;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL FARMACOLÓGICO;"18216000,00";;vínculo em branco;01.310.0000
654;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL FARMACOLÓGICO;"1222332,00";;vínculo em branco;01.310.0000
655;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;"3.3.90.32.00-MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA";OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;"2272332,00";;vínculo em branco;01.310.0000
656;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL FARMACOLÓGICO;"6000000,00";;vínculo em branco;01.310.0000
