UG;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;Programática_LOA;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;desc_sub;processo; valor ;Peça Orçamentária;Vínculo;Tipo de despesa;INICIADO;OBS.
11;11;001;04;122;0011;2.011;4.4.90.52.00;11.001.04.122.0011.2.011.4.4.90.52.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;4.4.90.52.00 - EQUIPAMENTOS E MATERIAL PERMANENTE;"MÁQUINAS, FERRAMENTAS E UTENSÍLIOS DE OFICINA";—;25000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;4.4.90.52.00;11.001.04.122.0011.2.011.4.4.90.52.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;4.4.90.52.00 - EQUIPAMENTOS E MATERIAL PERMANENTE;"MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS";2234/2024 - ARP;60000;LOA;01.110.0000;2. Atividade;;ARP
11;11;001;04;122;0011;2.011;4.4.90.52.00;11.001.04.122.0011.2.011.4.4.90.52.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;4.4.90.52.00 - EQUIPAMENTOS E MATERIAL PERMANENTE;"MÁQUINAS, FERRAMENTAS E UTENSÍLIOS DE OFICINA";2234/2024 - ARP;30000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;131;0002;2.005;3.3.90.39.00;11.001.04.131.0002.2.005.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;131-COMUNICAÇÃO SOCIAL;"0002 - Governo Inteligente, Aberto e Inovador";"2.005 - Promoção de Eventos, Comunicação e Participação Social";3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS GRÁFICOS E EDITORIAIS;1301/2025;50000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;1.003;3.3.90.39.00;11.001.04.122.0011.1.003.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;1.003 - Implantação de Novas Unidades;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3001/2026- Operação da Verticalização (CONTRATO CONTINUO);6387943.8;LOA;01.110.0000;1. Projeto;SIM;JA INICIOU -CONTRATO CONTINUO
11;11;001;04;452;0011;2.034;3.3.90.39.00;11.001.04.452.0011.2.034.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;452-SERVIÇOS URBNOS;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.034 - Manutenção da Infraestrutura Viária;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LIMPEZA E CONSERVAÇÃO;1085/2026-LOCAÇÃO DE MAQUINAS PREGÃO DE ATA;22611664;LOA;01.110.0000;2. Atividade;;NOVA ARP - MAQUINAS PARA OPERAÇÃO TAPA BURACO
11;11;001;04;122;0011;2.011;3.3.90.30.00;11.001.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;1379/2025-258/2024-3370/2024 MATERIAIS CONTRUÇÃO-MADEIRAS-TINTA -MANUFATURADO DE CONCRETO DENTRE OUTROS;4500000;LOA;01.110.0000;2. Atividade;;
11;11;014;04;122;0011;2.011;3.3.90.30.00;11.014.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE COPA E COZINHA;3541/2024;50000;LOA;01.110.0000;2. Atividade;;
11;11;014;04;122;0011;2.011;3.3.90.30.00;11.014.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;OUTROS MATERIAIS DE CONSUMO;2233/2024-;1000000;LOA;01.110.0000;2. Atividade;;
11;11;014;04;122;0011;2.011;3.3.90.30.00;11.014.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO;—;100000;LOA;01.110.0000;2. Atividade;;
