PROGRAMÁTICA,VALOR FINAL ARREDONDADO
14.001.08.245.0001.1.002.4.4.90.52.01.110.0000,"0,00 "
15.001.13.392.0009.1.002.3.3.90.39.08.110.0000,"100.001,00 "
15.001.13.392.0009.1.002.3.3.90.39.08.110.0000,"70.000,00 "
15.001.13.392.0009.1.002.4.4.90.52.08.110.0000,"50.000,00 "
15.001.13.392.0009.2.023.3.3.50.39.08.110.0000,"200.000,00 "
16.001.23.692.0008.1.002.3.3.90.39.01.110.0000,"1,00 "
23.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"0,00 "
24.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
27.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
28.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
28.001.04.122.0001.1.002.3.3.90.39.02.100.0000,"1,00 "
28.001.04.122.0001.1.002.4.4.90.52.01.110.0000,"0,00 "
28.001.04.122.0001.1.002.4.4.90.52.02.100.0000,"0,00 "
29.001.14.243.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
30.001.14.242.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
31.001.14.391.0009.1.002.3.3.90.30.01.110.0000,"0,00 "
31.001.14.391.0009.1.002.3.3.90.39.01.110.0000,"0,00 "
31.001.14.391.0009.1.002.3.3.90.39.01.110.0000,"0,00 "
31.001.14.422.0018.1.002.3.3.90.39.01.110.0000,"1,00 "
32.001.14.422.0001.1.002.3.3.90.30.01.110.0000,"1,00 "
32.001.14.422.0001.1.002.3.3.90.30.01.110.0000,"1,00 "
32.001.14.422.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
32.001.14.422.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
33.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
34.001.15.182.0005.1.002.3.3.90.30.01.110.0000,"0,00 "
34.001.15.182.0005.1.002.3.3.90.39.01.110.0000,"1,00 "
34.001.15.182.0005.1.002.4.4.90.52.01.110.0000,"0,00 "
34.001.15.182.0005.1.002.4.4.90.52.01.110.0000,"0,00 "
35.001.04.122.0001.1.002.3.3.90.30.01.110.0000,"1,00 "
35.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
35.001.04.122.0001.1.002.4.4.90.52.01.110.0000,"1,00 "
36.001.08.244.0018.1.002.3.3.90.39.01.110.0000,"0,00 "
02.001.04.122.0001.2.011.3.1.71.70.01.110.0000,"357.879,00 "
02.001.04.122.0001.2.011.3.3.71.70.01.110.0000,"2.068.418,00 "
06.001.04.122.0001.2.011.3.3.50.39.08.110.0000,"100.000,00 "
07.001.11.334.0017.2.004.3.3.50.39.08.110.0000,"200.000,00 "
08.001.12.122.0016.2.019.3.3.50.39.08.110.0000,"50.000,00 "
08.001.12.365.0016.2.022.3.3.50.39.01.200.0000,"1.922.051,00 "
08.001.12.365.0016.2.022.4.4.50.39.01.200.0000,"19.458,00 "
09.008.10.301.0015.2.012.3.3.50.39.08.310.0000,"1.000.000,00 "
09.008.10.301.0015.2.012.3.3.50.39.08.310.0000,"100.000,00 "
09.008.10.301.0015.2.012.4.4.50.52.08.310.0000,"380.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"101.669,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"200.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"216.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"100.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"101.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"401.669,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"300.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"70.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"100.000,00 "
09.009.10.302.0015.2.013.3.3.50.39.08.310.0000,"251.669,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"200.000,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"50.000,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"100.000,00 "
