PROGRAMÁTICA,VALOR FINAL ARREDONDADO
14.005.08.245.0018.2.005.3.3.90.39.05.500.0000,"50.000,00 "
14.005.08.245.0018.2.015.3.3.90.30.01.500.0000,"70.000,00 "
14.005.08.245.0018.2.015.3.3.90.30.02.500.1402,"161.588,00 "
14.005.08.241.0018.2.015.4.4.90.52.08.110.0000,"100.000,00 "
14.005.08.245.0018.2.016.3.3.90.30.01.500.0000,"100.000,00 "
14.005.08.245.0018.2.016.3.3.90.30.05.500.0000,"100.000,00 "
14.005.08.245.0018.2.016.3.3.90.39.01.500.0000,"86.448,00 "
14.005.08.245.0018.2.016.3.3.90.39.01.500.0000,"30.240,00 "
14.005.08.245.0018.2.016.3.3.90.39.02.500.1402,"200.000,00 "
14.005.08.246.0018.2.024.3.3.90.30.05.500.0000,"32.839,00 "
14.007.08.245.0018.2.005.3.3.90.30.01.110.0000,"50.000,00 "
14.007.08.245.0018.2.005.3.3.90.30.01.110.0000,"10.000,00 "
14.007.08.245.0018.2.005.3.3.90.30.02.500.1402,"0,00 "
14.007.08.245.0018.2.005.3.3.90.39.01.110.0000,"5.000,00 "
14.007.08.245.0018.2.015.3.3.90.30.01.110.0000,"50.000,00 "
14.008.08.245.0018.2.005.3.3.90.30.05.500.0001,"0,00 "
14.008.08.245.0018.2.005.3.3.90.39.01.110.0000,"151.105,00 "
14.008.08.245.0018.2.016.3.3.90.30.01.110.0000,"10.000,00 "
15.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"8.080.725,00 "
15.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"659.431,00 "
15.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"1.008.112,00 "
15.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"3,00 "
15.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"106.533,00 "
15.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
15.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"300.000,00 "
15.001.04.131.0002.2.005.3.3.90.39.08.110.0000,"50.000,00 "
15.001.04.131.0002.2.005.3.3.90.39.08.110.0000,"100.000,00 "
15.001.04.131.0002.2.005.3.3.90.39.08.110.0000,"40.000,00 "
15.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"200.000,00 "
15.001.13.334.0009.2.033.3.3.90.30.01.110.0000,"46.809,00 "
15.001.13.391.0009.2.029.3.3.90.30.01.110.0000,"0,00 "
15.001.13.392.0009.2.011.3.3.90.30.01.110.0000,"30.000,00 "
15.001.13.392.0009.2.011.3.3.90.30.01.110.0000,"20.000,00 "
15.001.13.392.0009.2.011.3.3.90.39.01.110.0000,"20.000,00 "
15.001.13.392.0009.2.028.3.3.90.39.08.110.0000,"160.000,00 "
15.001.13.392.0009.2.028.3.3.50.39.08.110.0000,"250.000,00 "
15.001.13.392.0009.2.028.3.3.50.39.08.110.0000,"300.000,00 "
15.001.13.392.0009.2.028.3.3.90.39.08.110.0000,"300.000,00 "
16.001.04.122.0001.1.002.3.3.90.30.01.110.0000,"0,00 "
16.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
16.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"16.943.385,00 "
16.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"2.743.521,00 "
16.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"888.005,00 "
16.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"3,00 "
16.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"93.838,00 "
16.001.04.122.0001.2.006.3.3.90.36.01.110.0000,"1,00 "
16.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"1,00 "
16.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"1.999,00 "
16.001.23.334.0008.2.011.3.3.90.30.01.110.0000,"10.000,00 "
16.001.23.334.0008.2.011.3.3.90.30.01.110.0000,"10.000,00 "
16.001.23.334.0008.2.011.3.3.90.39.01.110.0000,"10.000,00 "
16.001.23.334.0008.2.011.3.3.90.39.01.110.0000,"0,00 "
17.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"8.438.964,00 "
17.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"913.471,00 "
17.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"705.161,00 "
17.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
17.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"115.224,00 "
17.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
17.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"50.000,00 "
17.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"50.000,00 "
17.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"50.000,00 "
17.001.18.422.0007.2.021.3.3.90.30.01.110.0000,"5.000,00 "
17.001.18.422.0007.2.021.3.3.90.39.01.110.0000,"5.000,00 "
17.001.18.541.0007.1.002.3.3.90.39.08.110.0000,"30.000,00 "
17.001.18.541.0007.2.011.3.3.90.30.01.110.0000,"30.000,00 "
17.001.18.541.0007.2.011.3.3.90.30.01.110.0000,"233.999,00 "
17.001.18.541.0007.2.011.3.3.90.30.03.100.1702,"66.001,00 "
17.001.18.541.0007.2.011.3.3.90.30.01.110.0000,"20.000,00 "
17.001.18.541.0007.2.011.3.3.90.39.01.110.0000,"20.000,00 "
18.002.04.122.0001.2.001.3.1.90.11.01.110.0000,"1,00 "
18.002.04.122.0001.2.001.3.1.90.13.01.110.0000,"2,00 "
18.002.04.122.0001.2.001.3.1.91.13.01.110.0000,"2,00 "
18.002.04.122.0001.2.001.3.3.90.46.01.110.0000,"19.945.591,00 "
18.002.04.122.0001.2.001.3.3.90.49.01.110.0000,"1,00 "
18.002.04.122.0001.2.009.3.3.90.39.01.110.0000,"492.480,00 "
18.002.04.122.0001.2.011.3.3.90.39.01.110.0000,"9.310.706,00 "
18.003.04.126.0002.2.007.3.3.90.40.01.110.0000,"274.095,00 "
18.003.04.126.0002.2.007.3.3.90.40.01.110.0000,"918.720,00 "
18.003.04.126.0002.2.007.4.4.90.52.08.110.0000,"221.669,00 "
18.003.04.126.0002.2.007.4.4.90.52.08.110.0000,"150.000,00 "
19.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"12.927.447,00 "
19.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"759.260,00 "
19.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"1.886.186,00 "
19.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
19.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"289.184,00 "
19.001.04.122.0001.2.002.3.3.90.39.01.110.0000,"4.753.033,00 "
19.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
19.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"12.500,00 "
19.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"13.000,00 "
19.001.15.422.0013.2.021.3.3.90.30.01.110.0000,"5.000,00 "
19.001.15.422.0013.2.021.3.3.90.39.01.110.0000,"5.000,00 "
19.001.15.451.0013.1.006.4.4.90.52.01.110.0000,"1,00 "
19.001.15.451.0013.2.011.3.3.90.30.01.110.0000,"16.236,00 "
19.001.15.451.0013.2.011.3.3.90.30.01.110.0000,"1,00 "
19.001.15.451.0013.2.011.3.3.90.30.01.110.0000,"18.000,00 "
19.001.15.451.0013.2.011.3.3.90.39.01.110.0000,"1,00 "
19.005.04.122.0001.2.002.3.3.90.39.01.110.0000,"1,00 "
20.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"52.061.486,00 "
20.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.433.222,00 "
20.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"58.867.060,00 "
20.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"3,00 "
20.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"3.145.886,00 "
20.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
20.001.04.128.0002.2.003.3.3.90.39.08.110.0000,"300.000,00 "
20.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"1,00 "
20.001.06.181.0006.2.011.3.3.90.30.01.110.0000,"0,00 "
20.001.06.181.0006.2.011.3.3.90.30.01.110.0000,"50.000,00 "
20.001.06.181.0006.2.011.3.3.90.30.01.110.0000,"340.000,00 "
20.001.06.181.0006.2.011.3.3.90.30.01.110.0000,"3.500,00 "
20.001.06.181.0006.2.011.3.3.90.39.01.110.0000,"0,00 "
20.001.06.181.0006.2.011.3.3.90.39.01.110.0000,"3.500,00 "
20.001.06.181.0006.2.011.4.4.90.52.08.110.0000,"100.000,00 "
21.001.09.272.0001.2.001.3.1.90.11.04.690.0000,"13.700.000,00 "
21.001.09.272.0001.2.001.3.1.90.13.04.690.0000,"1.554.857,00 "
21.001.09.272.0001.2.001.3.1.90.16.04.690.0000,"1.000,00 "
21.001.09.272.0001.2.001.3.1.90.92.04.690.0000,"1.000,00 "
21.001.09.272.0001.2.001.3.1.90.94.04.690.0000,"203.000,00 "
21.001.09.272.0001.2.001.3.1.91.13.04.690.0000,"1.155.143,00 "
21.001.09.272.0001.2.001.3.3.90.46.04.690.0000,"1.000,00 "
21.001.09.272.0001.2.001.3.3.90.49.04.690.0000,"100.000,00 "
21.001.09.272.0001.2.011.3.3.90.33.04.690.0000,"20.000,00 "
21.001.09.272.0021.0.003.3.1.90.91.04.690.0000,"200.000,00 "
21.003.09.272.0020.2.043.3.1.90.01.04.601.0000,"251.000.000,00 "
21.003.09.272.0020.2.043.3.1.90.03.04.601.0000,"7.000.000,00 "
21.003.09.272.0020.2.043.3.1.90.91.04.601.0000,"1.000.000,00 "
21.005.09.272.0020.2.043.3.1.90.01.04.602.0000,"126.000.000,00 "
21.005.09.272.0020.2.043.3.1.90.03.04.602.0000,"58.000.000,00 "
22.001.04.122.0001.2.011.3.3.90.30.04.110.0000,"0,00 "
22.001.04.122.0001.2.011.3.3.90.33.04.110.0000,"0,00 "
22.001.04.331.0001.2.001.3.1.90.11.04.110.0000,"0,00 "
22.001.04.331.0001.2.001.3.1.90.13.04.110.0000,"0,00 "
22.001.04.331.0001.2.001.3.1.90.16.04.110.0000,"0,00 "
22.001.04.331.0001.2.001.3.1.90.92.04.110.0000,"0,00 "
22.001.04.331.0001.2.001.3.1.90.94.04.110.0000,"0,00 "
22.001.04.331.0001.2.001.3.3.90.46.04.110.0000,"0,00 "
22.001.04.331.0001.2.001.3.3.90.49.04.110.0000,"2.750.644,00 "
22.002.12.122.0001.2.011.3.3.90.30.04.220.0000,"214.450,00 "
22.002.12.122.0001.2.011.3.3.90.33.01.110.0000,"0,00 "
22.002.12.361.0001.2.001.3.1.90.11.04.220.0000,"0,00 "
22.002.12.361.0001.2.001.3.1.90.13.04.220.0000,"0,00 "
22.002.12.361.0001.2.001.3.1.90.16.04.220.0000,"0,00 "
22.002.12.361.0001.2.001.3.1.90.94.04.220.0000,"4.339.177,00 "
22.002.12.361.0001.2.001.3.3.90.46.04.220.0000,"0,00 "
22.002.12.361.0001.2.001.3.3.90.49.04.220.0000,"0,00 "
22.002.12.361.0001.2.011.3.3.90.30.01.110.0000,"0,00 "
22.002.12.361.0001.2.011.3.3.90.33.01.110.0000,"0,00 "
22.004.12.122.0001.2.011.3.3.90.30.04.230.0000,"249.199,00 "
22.004.12.122.0001.2.011.3.3.90.33.04.230.0000,"0,00 "
22.004.12.362.0001.2.001.3.1.90.11.04.230.0000,"1.770.648,00 "
22.004.12.362.0001.2.001.3.1.90.13.04.230.0000,"0,00 "
22.004.12.362.0001.2.001.3.1.90.16.04.230.0000,"0,00 "
22.004.12.362.0001.2.001.3.1.90.94.04.230.0000,"0,00 "
22.004.12.362.0001.2.001.3.3.90.46.04.230.0000,"0,00 "
22.004.12.362.0001.2.001.3.3.90.49.04.230.0000,"0,00 "
22.004.12.362.0001.2.011.3.3.90.30.04.230.0000,"571.624,00 "
22.004.12.362.0001.2.011.3.3.90.33.04.230.0000,"0,00 "
22.006.12.364.0001.2.001.3.1.90.11.04.110.0000,"0,00 "
22.006.12.364.0001.2.001.3.1.90.13.04.110.0000,"0,00 "
22.006.12.364.0001.2.001.3.1.90.16.04.110.0000,"35.086,00 "
22.006.12.364.0001.2.001.3.1.90.94.04.110.0000,"0,00 "
22.006.12.364.0001.2.001.3.3.90.46.04.110.0000,"0,00 "
22.006.12.364.0001.2.001.3.3.90.49.04.110.0000,"0,00 "
22.006.12.364.0001.2.011.3.3.90.30.04.110.0000,"0,00 "
22.006.12.364.0001.2.011.3.3.90.33.04.110.0000,"0,00 "
22.007.13.392.0001.2.001.3.1.90.11.04.110.0000,"0,00 "
22.007.13.392.0001.2.001.3.1.90.13.04.110.0000,"0,00 "
22.007.13.392.0001.2.001.3.1.90.16.04.110.0000,"0,00 "
22.007.13.392.0001.2.001.3.1.90.94.04.110.0000,"0,00 "
22.007.13.392.0001.2.001.3.3.90.46.04.110.0000,"0,00 "
22.007.13.392.0001.2.001.3.3.90.49.04.110.0000,"593.233,00 "
22.007.13.392.0009.2.011.3.3.90.30.04.110.0000,"0,00 "
22.007.13.392.0009.2.011.3.3.90.33.04.110.0000,"0,00 "
22.008.12.365.0001.2.001.3.1.90.11.01.110.0000,"0,00 "
22.008.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.008.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.008.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.008.12.365.0001.2.001.3.1.90.94.01.210.0000,"1.020.168,00 "
22.008.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.008.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.008.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.008.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.008.12.365.0016.2.011.3.3.90.33.01.110.0000,"0,00 "
22.009.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.009.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.009.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.009.12.365.0001.2.001.3.1.90.94.01.210.0000,"1.308.930,00 "
22.009.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.009.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.009.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.009.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.009.12.365.0016.2.011.3.3.90.33.01.110.0000,"0,00 "
22.010.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.010.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.010.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.010.12.365.0001.2.001.3.1.90.94.01.210.0000,"438.255,00 "
22.010.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.010.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.010.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.010.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.010.12.365.0016.2.011.3.3.90.33.01.110.0000,"0,00 "
22.011.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.011.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.011.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.011.12.365.0001.2.001.3.1.90.94.01.210.0000,"285.695,00 "
22.011.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.011.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.011.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.011.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.011.12.365.0016.2.011.3.3.90.33.01.110.0000,"0,00 "
22.012.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.012.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.012.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.012.12.365.0001.2.001.3.1.90.94.01.210.0000,"345.406,00 "
22.012.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.012.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.012.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.012.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.012.12.365.0016.2.011.3.3.90.33.01.110.0000,"0,00 "
22.013.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.013.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.013.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.013.12.365.0001.2.001.3.1.90.94.01.210.0000,"245.748,00 "
22.013.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.013.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.013.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.013.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.013.12.365.0016.2.011.3.3.90.33.01.110.0000,"0,00 "
22.014.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.014.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.014.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.014.12.365.0001.2.001.3.1.90.94.01.210.0000,"547.101,00 "
22.014.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.014.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.014.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.014.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.014.12.365.0016.2.011.3.3.90.33.01.110.0000,"0,00 "
22.015.12.365.0001.2.001.3.1.90.11.01.210.0000,"0,00 "
22.015.12.365.0001.2.001.3.1.90.13.01.210.0000,"0,00 "
22.015.12.365.0001.2.001.3.1.90.16.01.210.0000,"0,00 "
22.015.12.365.0001.2.001.3.1.90.94.01.210.0000,"408.697,00 "
22.015.12.365.0001.2.001.3.1.90.96.01.210.0000,"0,00 "
22.015.12.365.0001.2.001.3.3.90.46.01.210.0000,"0,00 "
22.015.12.365.0001.2.001.3.3.90.49.01.210.0000,"0,00 "
22.015.12.365.0016.2.011.3.3.90.30.01.210.0000,"0,00 "
22.015.12.365.0016.2.011.3.3.90.33.01.210.0000,"0,00 "
22.016.12.365.0001.2.001.3.1.90.11.04.110.0000,"0,00 "
22.016.12.365.0001.2.001.3.1.90.13.04.110.0000,"0,00 "
22.016.12.365.0001.2.001.3.1.90.16.04.210.0000,"91.146,00 "
22.016.12.365.0001.2.001.3.1.90.92.04.110.0000,"0,00 "
22.016.12.365.0001.2.001.3.1.90.94.04.110.0000,"0,00 "
22.016.12.365.0001.2.001.3.1.90.96.04.110.0000,"0,00 "
22.016.12.365.0001.2.001.3.3.90.46.04.110.0000,"0,00 "
22.016.12.365.0001.2.001.3.3.90.49.04.110.0000,"0,00 "
22.016.12.365.0016.2.011.3.3.90.30.04.110.0000,"0,00 "
22.016.12.365.0016.2.011.3.3.90.33.04.210.0000,"600,00 "
23.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"3.277.473,00 "
23.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"609.597,00 "
23.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"123.993,00 "
23.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
23.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"46.942,00 "
23.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
23.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"10.000,00 "
23.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"80.000,00 "
23.001.04.131.0002.2.005.3.3.90.39.08.110.0000,"300.000,00 "
23.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"80.000,00 "
24.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"11.545.989,00 "
24.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.728.918,00 "
24.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"903.922,00 "
24.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"5,00 "
24.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"106.475,00 "
24.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
24.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"25.000,00 "
24.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"25.000,00 "
24.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"10.000,00 "
24.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"25.000,00 "
24.001.04.128.0002.2.003.3.3.90.30.01.110.0000,"1,00 "
24.001.04.128.0002.2.003.3.3.90.39.01.110.0000,"1,00 "
24.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"250.000,00 "
24.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"250.000,00 "
27.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"4.381.453,00 "
27.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"106.343,00 "
27.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"467.459,00 "
27.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"3,00 "
27.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"52.733,00 "
27.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
27.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"13.200,00 "
27.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"19.000,00 "
27.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"9.100,00 "
27.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"15.000,00 "
27.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"3.900,00 "
27.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"25.886,00 "
28.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"17.741.029,00 "
28.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.467.797,00 "
28.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"1.836.721,00 "
28.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"95.372,00 "
28.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"269.997,00 "
28.001.04.122.0001.2.006.3.3.90.33.02.100.0000,"0,00 "
28.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"25.000,00 "
28.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"15.000,00 "
28.001.04.122.0001.2.011.3.3.90.30.02.100.0000,"0,00 "
28.001.04.122.0001.2.011.3.3.90.30.02.100.0000,"0,00 "
28.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"10.000,00 "
28.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"15.000,00 "
28.001.04.122.0001.2.011.3.3.90.39.02.100.0000,"0,00 "
28.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"500,00 "
28.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"3.000,00 "
28.007.04.131.0002.2.005.3.3.90.30.01.110.0000,"1.000,00 "
28.007.04.131.0002.2.005.3.3.90.39.01.110.0000,"3.000,00 "
29.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"5.338.193,00 "
29.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.006.260,00 "
29.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"207.696,00 "
29.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"3,00 "
29.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"44.823,00 "
29.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
29.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"3.000,00 "
29.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"2.000,00 "
29.001.14.243.0018.2.011.3.3.90.30.01.110.0000,"10.000,00 "
29.001.14.243.0018.2.011.3.3.90.30.01.110.0000,"15.000,00 "
29.001.14.243.0018.2.011.3.3.90.30.01.110.0000,"10.000,00 "
29.001.14.243.0018.2.011.3.3.90.39.01.110.0000,"15.000,00 "
29.001.14.243.0018.2.011.3.3.90.39.01.110.0000,"10.000,00 "
29.001.14.243.0018.2.041.3.3.50.39.08.110.0000,"300.000,00 "
30.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"2.654.848,00 "
30.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"255.324,00 "
30.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"237.659,00 "
30.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"4,00 "
30.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"48.550,00 "
30.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
30.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"20.000,00 "
30.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"1,00 "
30.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"1,00 "
30.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"1,00 "
30.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"1,00 "
30.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"5.000,00 "
30.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"5.000,00 "
31.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"2.754.953,00 "
31.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"470.117,00 "
31.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"164.039,00 "
31.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"5,00 "
31.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"28.867,00 "
31.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
31.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"2.000,00 "
31.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"4.000,00 "
31.001.14.422.0018.2.011.3.3.90.30.01.110.0000,"65.000,00 "
31.001.14.422.0018.2.011.3.3.90.30.01.110.0000,"40.000,00 "
31.001.14.422.0018.2.011.3.3.90.30.01.110.0000,"5.000,00 "
31.001.14.422.0018.2.011.3.3.90.39.01.110.0000,"20.000,00 "
32.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"2.993.731,00 "
32.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"460.118,00 "
32.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"269.251,00 "
32.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"5,00 "
32.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"14.971,00 "
32.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
32.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"2.880,00 "
32.001.04.131.0002.2.005.3.3.90.39.08.110.0000,"50.000,00 "
32.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"3.000,00 "
32.001.14.422.0018.2.011.3.3.90.30.01.110.0000,"15.000,00 "
32.001.14.422.0018.2.011.3.3.90.30.01.110.0000,"1,00 "
32.001.14.422.0018.2.011.3.3.90.39.01.110.0000,"1,00 "
32.001.14.422.0018.2.011.3.3.90.39.01.110.0000,"70.000,00 "
33.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"7.931.189,00 "
33.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"559.109,00 "
33.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"275.567,00 "
33.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
